Field,Count,Mean,Median,Std Dev,Min,Max,Q1 (25%),Q3 (75%)
Study_Hours_Per_Day,2000,7.4758000000000004,7.4,1.4238883695867885,5.0,10.0,6.3,8.7
Extracurricular_Hours_Per_Day,2000,1.9901,2.0,1.1558546578160238,0.0,4.0,1.0,3.0
Sleep_Hours_Per_Day,2000,7.50125,7.5,1.4609485353055411,5.0,10.0,6.2,8.8
Social_Hours_Per_Day,2000,2.7045500000000002,2.6,1.6885140915665198,0.0,6.0,1.2,4.1
Physical_Activity_Hours_Per_Day,2000,4.328300000000001,4.1,2.5141100780877457,0.0,13.0,2.4,6.1
Grades,2000,7.7898249999999996,7.78,0.7467767116772936,5.6,10.0,7.25,8.32
